Tahun,Provinsi,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya
2022,Aceh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Aceh,41.0,11.0,2.0,18.0,2.0,5.0,17.0,4.0,0.0
2022,Aceh,37.0,14.0,5.0,26.0,5.0,3.0,2.0,4.0,4.0
2022,Aceh,41.8,13.3,10.7,18.2,3.1,2.6,1.8,2.0,6.5
2022,Aceh,8.5,7.5,19.3,35.7,4.0,1.0,3.0,2.0,19.0
2022,Aceh,5.18,13.05,11.93,35.73,16.88,6.65,5.55,2.03,3.0
2022,Aceh,30.0,10.0,15.0,22.0,2.0,5.0,3.0,2.0,11.0
2022,Aceh,32.5,11.0,20.0,12.0,11.0,1.5,3.0,4.0,5.0
2022,Aceh,35.0,23.0,5.0,25.0,0.0,0.0,0.0,2.0,10.0
2022,Aceh,65.0,1.0,11.0,14.0,3.5,1.0,1.0,2.5,1.0
2022,Aceh,38.0,14.0,11.0,20.0,1.0,1.0,2.0,1.0,12.0
2022,Aceh,35.0,15.0,15.0,30.0,1.0,1.0,1.0,1.0,1.0
2022,Aceh,21.0,25.0,19.0,18.0,3.0,3.0,3.0,3.0,5.0
2022,Aceh,19.0,26.3,13.0,26.0,2.5,3.5,3.7,3.5,2.5
2022,Aceh,32.4,20.6,3.0,4.8,4.6,6.8,13.2,4.75,9.85
2022,Aceh,26.5,16.6,10.5,22.6,6.1,4.3,4.3,3.7,5.4
2022,Aceh,19.0,20.0,8.0,12.0,14.0,10.0,7.0,8.0,2.0
2022,Aceh,28.0,15.0,10.0,18.0,2.0,7.0,8.0,2.0,10.0
2022,Sumatera Utara,54.6,0.01,11.39,13.15,0.37,3.28,0.84,1.59,14.77
2022,Sumatera Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sumatera Utara,38.0,30.0,24.0,7.0,0.2,0.2,0.1,0.0,0.0
2022,Sumatera Utara,20.5,24.0,13.8,20.2,6.0,5.0,3.0,2.0,5.5
2022,Sumatera Utara,5.5,1.93,15.44,20.46,0.37,7.7,4.5,8.6,35.5
2022,Sumatera Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sumatera Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sumatera Utara,12.0,55.0,10.0,13.0,3.0,1.0,0.2,0.8,5.0
2022,Sumatera Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sumatera Utara,45.0,6.0,12.0,10.0,5.0,3.0,4.0,4.0,11.0
2022,Sumatera Utara,62.7,1.73,11.43,16.65,0.73,2.6,0.71,1.83,1.62
2022,Sumatera Utara,49.93,7.58,13.56,12.71,0.38,3.29,1.13,2.17,9.25
2022,Sumatera Barat,20.4,19.6,23.0,19.0,16.0,0.42,1.58,0.0,0.0
2022,Sumatera Barat,29.0,20.0,12.0,22.0,2.0,2.0,2.0,2.0,9.0
