Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga,Perkantoran,Pasar,Perniagaan,Fasilitas Publik,Kawasan,Lain
2019,Maluku,Kota Ambon,56.16,10.8,43.2,30.24,25.92,7.05,8.64
2019,Sumatera Utara,Kab. Dairi,2.26,0.12,2.64,0.0,0.55,0.36,0.0
2019,Kalimantan Selatan,Kab. Tanah Laut,30.0,1.0,3.0,1.0,1.0,1.0,3.0
2019,D.I. Yogyakarta,Kab. Bantul,253.8,2.9,26.0,117.7,29.4,1.9,10.3
2019,Jawa Timur,Kab. Malang,886.37,19.06,118.55,25.7,29.47,19.94,8.86
2019,Sulawesi Selatan,Kab. Enrekang,90.0,1.0,13.0,2.0,2.4,1.0,10.0
2019,Jawa Timur,Kab. Ngawi,44.57,3.55,7.5,5.1,6.1,5.32,5.5
2019,Kalimantan Tengah,Kab. Kotawaringin Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Cilacap,724.6,0.48,44.61,0.17,8.89,6.1,0.0
2019,Lampung,Kab. Pringsewu,6.0,0.6,4.0,1.5,1.0,0.5,1.0
2019,Sumatera Barat,Kota Padang,450.0,14.94,90.0,21.24,47.07,8.0,9.0
2019,Jawa Timur,Kab. Sumenep,360.2,0.61,5.4,1.15,39.01,19.08,24.84
2019,Jawa Tengah,Kab. Brebes,1.0,1.0,10.0,1.0,1.0,1.0,1.0
2019,Sumatera Barat,Kab. Pasaman,51.01,4.49,12.81,3.78,0.88,0.0,13.6
2019,Bali,Kota Denpasar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Bondowoso,19.44,3.25,14.61,0.61,4.22,1.36,0.0
2019,Kalimantan Utara,Kab. Nunukan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Kudus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Selatan,Kab. Muara Enim,17.27,1.13,5.14,2.12,1.02,1.81,0.0
2019,Banten,Kab. Tangerang,1900.0,6.7,220.0,40.57,25.0,325.0,0.0
2019,Jawa Barat,Kota Sukabumi,153.31,3.01,5.62,2.95,12.48,0.59,0.0
2019,Bengkulu,Kab. Bengkulu Utara,44.1,9.0,19.0,7.0,6.0,2.0,13.0
2019,Bali,Kab. Bangli,93.21,0.27,5.94,0.63,3.67,0.0,0.54
2019,Jawa Tengah,Kab. Purworejo,93.67,0.04,0.8,0.03,0.99,0.0,0.0
2019,Sulawesi Utara,Kab. Minahasa Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kota Banda Aceh,182.57,0.55,8.85,44.31,2.27,0.0,0.05
2019,Jawa Timur,Kota Surabaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kab. Subang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Selatan,Kab. Hulu Sungai Tengah,11.52,1.53,6.83,2.04,2.35,7.65,0.53
2019,Jawa Tengah,Kab. Wonogiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kab. Gayo Lues,38.0,3.0,16.0,7.0,5.0,16.0,15.0
2019,Kalimantan Barat,Kab. Bengkayang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kota Pasuruan,76.1,0.7,19.7,1.3,16.4,6.6,10.5
2019,Sumatera Selatan,Kab. Musi Banyuasin,143.05,12.77,20.44,25.55,12.77,17.88,22.99
2019,Sumatera Utara,Kota Medan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kota Depok,156.2,7.4,104.2,29.8,409.2,22.3,14.9
2019,Jawa Tengah,Kab. Boyolali,264.5,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kepulauan Bangka Belitung,Kab. Bangka Tengah,28.6,2.57,17.78,16.55,12.07,0.06,0.79
2019,Jambi,Kab. Sarolangun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Tengah,Kab. Banggai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bengkulu,Kab. Bengkulu Selatan,14.0,2.0,2.5,2.4,1.0,1.0,2.0
2019,Sumatera Barat,Kab. Tanah Datar,88.3,0.28,17.75,1.54,12.27,0.0,0.0
2019,Kalimantan Selatan,Kab. Tanah Bumbu,120.0,4.0,50.0,0.0,2.0,2.0,2.0
2019,Kalimantan Timur,Kota Balikpapan,332.09,8.9,29.26,41.46,21.6,6.19,19.12
2019,Jawa Tengah,Kab. Grobogan,520.7,42.0,109.2,58.8,25.2,33.6,50.4
2019,Kepulauan Riau,Kab. Lingga,16.2,0.1,0.7,5.1,3.9,1.2,0.2
2019,Riau,Kota Pekanbaru,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Tengah,Kab. Kotawaringin Barat,10.82,6.82,10.52,7.3,6.28,4.93,4.29
2019,Sulawesi Barat,Kab. Polewali Mandar,109.74,5.31,12.39,8.85,19.47,14.16,7.08
2019,Kalimantan Tengah,Kab. Pulang Pisau,38.1,0.1,2.3,6.5,3.9,0.0,0.0
2019,Sumatera Selatan,Kab. Empat Lawang,139.36,0.08,35.0,0.49,0.01,0.08,0.14
2019,Sulawesi Selatan,Kab. Kepulauan Selayar,32.0,6.0,18.0,6.0,3.0,1.8,0.0
2019,Jawa Timur,Kab. Trenggalek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Timur,Kab. Berau,50.7,1.6,8.66,3.9,2.3,6.0,40.0
2019,Kepulauan Riau,Kab. Bintan,17.95,5.13,10.26,7.69,5.1,2.6,2.56
2019,Riau,Kab. Pelalawan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Utara,Kab. Minahasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Semarang,26.4,15.0,22.2,0.0,0.0,4.8,0.0
2019,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.08,5.45,1.82
2019,Kalimantan Selatan,Kab. Barito Kuala,37.08,9.27,18.54,10.0,8.0,4.0,5.0
2019,D.I. Yogyakarta,Kota Yogyakarta,199.7,2.35,34.75,80.08,41.79,1.18,2.11
2019,Bengkulu,Kab. Bengkulu Tengah,33.89,6.93,10.38,3.46,2.59,0.0,0.0
2019,Sulawesi Selatan,Kab. Maros,6.5,1.17,0.65,0.58,1.38,0.0,2.27
2019,Kalimantan Selatan,Kota Banjarbaru,157.63,0.54,1.5,0.01,4.83,0.5,0.5
2019,Kepulauan Bangka Belitung,Kab. Bangka Selatan,59.0,2.46,5.5,2.87,9.28,6.21,0.36
2019,Sumatera Barat,Kota Payakumbuh,65.09,0.72,17.18,10.38,3.16,0.32,0.53
2019,Kalimantan Barat,Kab. Mempawah,3.83,8.08,26.73,8.38,8.52,11.11,2.57
2019,Gorontalo,Kab. Pohuwato,5.8,1.2,3.2,1.3,1.1,0.7,0.5
2019,Jawa Timur,Kota Blitar,63.8,0.7,2.1,1.4,1.1,0.4,1.4
2019,Jawa Tengah,Kab. Batang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,DKI Jakarta,Kota Adm. Jakarta Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Kediri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Kebumen,37.0,8.0,5.0,3.0,9.0,3.0,4.0
2019,Lampung,Kota Metro,41.0,12.3,20.5,12.3,8.2,5.13,3.08
2019,Sumatera Barat,Kota Sawahlunto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,DKI Jakarta,Kota Adm. Jakarta Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Utara,Kota Bitung,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Sidoarjo,99999.99,4467.3,62542.7,31271.4,8934.7,44673.4,99999.99
2019,Sulawesi Selatan,Kota Palopo,4.0,0.04,7.0,6.0,0.04,8.0,0.0
2019,Kalimantan Barat,Kab. Kapuas Hulu,106.67,0.1,0.05,0.5,3.1,2.3,0.71
2019,Aceh,Kota Langsa,11.4,1.0,16.0,12.0,6.0,2.0,0.0
2019,Kalimantan Tengah,Kab. Barito Utara,32.5,5.2,24.0,2.0,1.5,2.0,1.5
2019,Jawa Barat,Kab. Ciamis,277.99,22.69,93.61,96.44,28.37,25.53,22.69
2019,Maluku Utara,Kota Ternate,37.7,4.7,10.1,7.7,4.4,3.5,4.2
2019,Sulawesi Tengah,Kab. Parigi Moutong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Utara,Kab. Samosir,10.0,1.0,2.0,3.0,1.0,5.0,2.0
2019,Jawa Timur,Kab. Banyuwangi,19511.24,0.02,5.55,0.01,0.01,0.0,0.0
2019,Sulawesi Selatan,Kab. Luwu Timur,44.8,11.2,22.4,11.2,5.6,5.6,16.8
2019,Jawa Timur,Kab. Tuban,150.84,8.7,84.0,76.78,66.47,68.3,3.0
2019,Jawa Tengah,Kab. Pati,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kepulauan Riau,Kota Tanjung Pinang,13.4,4.6,12.0,6.4,7.9,6.8,1.2
2019,Maluku,Kab. Buru Selatan,3.47,0.41,2.5,9.87,1.19,0.0,1.04
2019,Sumatera Selatan,Kab. Ogan Komering Ulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Utara,Kab. Asahan,364.9,2.68,3.53,77.36,13.14,6.96,151.91
2019,Kalimantan Tengah,Kota Palangkaraya,149.45,88.4,40.0,20.84,1.0,0.0,45.39
2019,Banten,Kab. Lebak,1.32,117.79,7.89,49.46,131.97,129.13,68.12
2019,D.I. Yogyakarta,Kab. Kulon Progo,0.43,0.0,0.23,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Madiun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kab. Bungo,6.72,1.53,67.06,1.32,0.98,2.45,65.78
2019,Sumatera Utara,Kab. Langkat,8.0,5.4,5.4,6.0,3.9,1.9,2.8
2019,Sumatera Utara,Kota Tebing Tinggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Pasuruan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Pamekasan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Selatan,Kab. Musi Rawas,256.19,0.1,13.36,1.12,1.17,0.18,11.5
2019,Banten,Kota Cilegon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bengkulu,Kab. Kepahiang,15.0,1.0,10.0,1.1,1.0,1.0,1.4
2019,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.58,0.39
2019,Kalimantan Timur,Kota Bontang,79.69,3.67,5.86,0.0,3.58,8.46,0.45
2019,Maluku,Kab. Maluku Tenggara,75.0,5.0,15.0,1.0,1.0,2.0,1.0
2019,Banten,Kab. Pandeglang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kota Bogor,262.5,0.3,23.4,1.5,4.4,2.8,212.1
2019,Sulawesi Selatan,Kab. Bantaeng,22.9,0.9,1.7,1.7,0.1,0.0,2.0
2019,Sumatera Barat,Kab. Sijunjung,13.6,8.4,9.6,1.2,1.0,0.6,0.0
2019,Kepulauan Riau,Kab. Natuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Tenggara,Kab. Bombana,0.0,0.1,4.0,0.0,2.0,1.0,1.0
2019,Sulawesi Utara,Kab. Minahasa Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kab. Bener Meriah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kota Madiun,85.84,5.16,9.41,4.78,4.61,3.17,2.03
2019,Kalimantan Selatan,Kab. Hulu Sungai Selatan,42.31,0.79,34.08,5.69,4.71,3.6,1.88
2019,Bali,Kab. Jembrana,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2019,Jawa Barat,Kota Tasikmalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Lampung,Kab. Way Kanan,313.59,0.65,5.4,0.42,0.04,0.0,141.35
2019,Sulawesi Selatan,Kab. Barru,43.77,7.29,4.38,2.19,4.38,7.29,3.65
2019,Kalimantan Timur,Kab. Kutai Kartanegara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Nusa Tenggara Barat,Kab. Lombok Timur,25.0,0.15,15.0,3.0,31.42,0.47,20.0
2019,Jawa Tengah,Kab. Sukoharjo,174.54,2.52,15.51,7.94,18.74,141.23,5.37
2019,Kepulauan Bangka Belitung,Kota Pangkal Pinang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Utara,Kota Tarakan,1.75,0.08,4.5,3.69,1.49,0.06,2.0
2019,Kalimantan Barat,Kab. Ketapang,41.0,6.0,20.0,15.0,5.0,8.0,5.0
2019,Jawa Timur,Kota Probolinggo,41.5,0.6,11.5,2.9,1.3,1.5,0.6
