LOCATION,INDICATOR,MEASURE,TIME,Value
AUS,WASTEMUN,KG_CAP,2000,693.685
AUS,WASTEMUN,KG_CAP,2007,618.683
AUS,WASTEMUN,KG_CAP,2008,616.329
AUS,WASTEMUN,KG_CAP,2009,615.132
AUS,WASTEMUN,KG_CAP,2010,615.498
AUS,WASTEMUN,KG_CAP,2011,603.065
AUS,WASTEMUN,KG_CAP,2012,597.02
AUS,WASTEMUN,KG_CAP,2013,592.122
AUS,WASTEMUN,KG_CAP,2014,587.39
AUS,WASTEMUN,KG_CAP,2015,586.338
AUS,WASTEMUN,KG_CAP,2016,538.19
AUS,WASTEMUN,KG_CAP,2017,512.374
AUS,WASTEMUN,KG_CAP,2018,506.01
AUS,WASTEMUN,KG_CAP,2019,495.618
AUT,WASTEMUN,KG_CAP,2000,579.912
AUT,WASTEMUN,KG_CAP,2001,576.204
AUT,WASTEMUN,KG_CAP,2002,608.009
AUT,WASTEMUN,KG_CAP,2003,607.52
AUT,WASTEMUN,KG_CAP,2004,573.723
AUT,WASTEMUN,KG_CAP,2005,575.3
AUT,WASTEMUN,KG_CAP,2006,596.641
AUT,WASTEMUN,KG_CAP,2007,596.852
AUT,WASTEMUN,KG_CAP,2008,600.49
AUT,WASTEMUN,KG_CAP,2009,589.943
AUT,WASTEMUN,KG_CAP,2010,562.249
AUT,WASTEMUN,KG_CAP,2011,573.044
AUT,WASTEMUN,KG_CAP,2012,579.494
AUT,WASTEMUN,KG_CAP,2013,578.609
AUT,WASTEMUN,KG_CAP,2014,565.665
AUT,WASTEMUN,KG_CAP,2015,560.402
AUT,WASTEMUN,KG_CAP,2016,563.857
AUT,WASTEMUN,KG_CAP,2017,570.547
AUT,WASTEMUN,KG_CAP,2018,579.223
AUT,WASTEMUN,KG_CAP,2019,587.994
AUT,WASTEMUN,KG_CAP,2020,834.152
BEL,WASTEMUN,KG_CAP,2000,471.26
BEL,WASTEMUN,KG_CAP,2001,466.822
BEL,WASTEMUN,KG_CAP,2002,482.058
BEL,WASTEMUN,KG_CAP,2003,464.913
BEL,WASTEMUN,KG_CAP,2004,485.456
BEL,WASTEMUN,KG_CAP,2005,482.125
BEL,WASTEMUN,KG_CAP,2006,484.928
BEL,WASTEMUN,KG_CAP,2007,493.426
BEL,WASTEMUN,KG_CAP,2008,480.02
BEL,WASTEMUN,KG_CAP,2009,467.003
BEL,WASTEMUN,KG_CAP,2010,456.332
BEL,WASTEMUN,KG_CAP,2011,456.902
BEL,WASTEMUN,KG_CAP,2012,446.703
BEL,WASTEMUN,KG_CAP,2013,437.482
BEL,WASTEMUN,KG_CAP,2014,425.948
BEL,WASTEMUN,KG_CAP,2015,413.134
BEL,WASTEMUN,KG_CAP,2016,420.186
BEL,WASTEMUN,KG_CAP,2017,411.663
BEL,WASTEMUN,KG_CAP,2018,410.129
BEL,WASTEMUN,KG_CAP,2019,416.942
BEL,WASTEMUN,KG_CAP,2020,730.69
BEL,WASTEMUN,KG_CAP,2021,761.3
CZE,WASTEMUN,KG_CAP,2000,334.291
CZE,WASTEMUN,KG_CAP,2001,273.665
CZE,WASTEMUN,KG_CAP,2002,278.9
CZE,WASTEMUN,KG_CAP,2003,280.053
CZE,WASTEMUN,KG_CAP,2004,278.341
CZE,WASTEMUN,KG_CAP,2005,288.643
CZE,WASTEMUN,KG_CAP,2006,296.007
CZE,WASTEMUN,KG_CAP,2007,293.044
CZE,WASTEMUN,KG_CAP,2008,304.515
CZE,WASTEMUN,KG_CAP,2009,315.494
CZE,WASTEMUN,KG_CAP,2010,317.003
CZE,WASTEMUN,KG_CAP,2011,319.911
CZE,WASTEMUN,KG_CAP,2012,307.633
CZE,WASTEMUN,KG_CAP,2013,307.115
CZE,WASTEMUN,KG_CAP,2014,309.84
CZE,WASTEMUN,KG_CAP,2015,316.515
CZE,WASTEMUN,KG_CAP,2016,338.846
CZE,WASTEMUN,KG_CAP,2017,488.879
CZE,WASTEMUN,KG_CAP,2018,493.863
CZE,WASTEMUN,KG_CAP,2019,500.313
CZE,WASTEMUN,KG_CAP,2020,543.357
CZE,WASTEMUN,KG_CAP,2021,570.525
DNK,WASTEMUN,KG_CAP,2000,664.375
DNK,WASTEMUN,KG_CAP,2001,657.133
DNK,WASTEMUN,KG_CAP,2002,663.906
DNK,WASTEMUN,KG_CAP,2003,671.595
DNK,WASTEMUN,KG_CAP,2004,695.589
DNK,WASTEMUN,KG_CAP,2005,736.709
DNK,WASTEMUN,KG_CAP,2006,739.893
DNK,WASTEMUN,KG_CAP,2007,790.301
DNK,WASTEMUN,KG_CAP,2008,830.749
DNK,WASTEMUN,KG_CAP,2009,762.034
DNK,WASTEMUN,KG_CAP,2010,758.683
DNK,WASTEMUN,KG_CAP,2011,862.785
DNK,WASTEMUN,KG_CAP,2012,806.861
DNK,WASTEMUN,KG_CAP,2013,813.724
DNK,WASTEMUN,KG_CAP,2014,808.196
DNK,WASTEMUN,KG_CAP,2015,822.598
DNK,WASTEMUN,KG_CAP,2016,830.996
DNK,WASTEMUN,KG_CAP,2017,820.735
DNK,WASTEMUN,KG_CAP,2018,814.341
DNK,WASTEMUN,KG_CAP,2019,843.93
DNK,WASTEMUN,KG_CAP,2020,814.374
DNK,WASTEMUN,KG_CAP,2021,786.47
FIN,WASTEMUN,KG_CAP,2000,502.299
FIN,WASTEMUN,KG_CAP,2001,464.919
FIN,WASTEMUN,KG_CAP,2002,458.409
FIN,WASTEMUN,KG_CAP,2003,465.758
FIN,WASTEMUN,KG_CAP,2004,469.189
